prodi,jeniskelamin,propinsikabupaten,tahundaftar,jumlah
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Manggarai ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Pemalang ",2011,9
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Magelang ",2011,33
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Purworejo ",2011,77
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2011,47
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kota Semarang ",2011,37
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kota Bogor ",2011,3
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Barat ;Kab. Pontianak ",2011,6
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sumatera Selatan ;Kota Lubuk Linggau ",2011,9
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Barat ;Kab. Pontianak ",2011,2
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jambi ;Kab. Bungo ",2011,5
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Temanggung ",2011,11
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Musi Rawas ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2011,107
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sumatera Selatan ;Kab. Musi Rawas ",2011,8
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Timur ;Kota Balikpapan ",2011,5
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kota Bandung ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kepulauan Riau ;Kab. Karimun ",2011,5
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2011,318
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Timur ;Kab. Bangkalan ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Lumajang ",2011,1
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2011,125
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Musi Rawas ",2011,5
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Barat ;Kab. Ketapang ",2011,6
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Riau ;Kab. Siak ",2011,6
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Banten ;Kota Tangerang ",2011,3
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Pati ",2011,3
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Sumatera Selatan ;Kota Lubuk Linggau ",2011,5
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Selatan ;Kab. Tabalong ",2011,7
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Kudus ",2011,6
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kota Magelang ",2011,39
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Bengkulu ;Kab. Muko-muko ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kota Palembang ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Lampung ;Kab. Tulang Bawang Barat ",2011,25
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kota Bima ",2011,9
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Timur ;Kab. Magetan ",2011,3
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Semarang ",2011,3
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Barat ;Kab. Majalengka ",2011,9
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jambi ;Kab. Sarolangun ",2011,1
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Sumbawa ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Lampung Barat ",2011,7
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Tengah ;Kab. Kotawaringin Timur ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.K.I. Jakarta ;Kab. Kepulauan Seribu ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Sumatera Selatan ;Kota Lubuk Linggau ",2011,6
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2011,204
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Timur ;Kota Blitar ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Ilir ",2011,3
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kota Bandar Lampung ",2011,32
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Riau ;Kab. Kampar ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Timur ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kota Dumai ",2011,3
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2011,89
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2011,183
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Selatan ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Barat ;Kota Pontianak ",2011,33
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Barat ;Kab. Ketapang ",2011,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Lampung ;Kab. Lampung Selatan ",2011,9
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kota Bandar Lampung ",2011,10
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2011,240
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Timur ;Kab. Jombang ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Lampung Tengah ",2011,12
"Aanvullen - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kota Surakarta ",2011,62
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kota Palembang ",2011,141
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Bengkulu ;Kab. Bengkulu Utara ",2011,3
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kab. Subang ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Sumbawa ",2011,19
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2011,172
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Riau ;Kab. Rokan Hulu ",2011,3
